product_code,price_cad,year
SOCC9B3291,60,2024
SOCC7DA9E9,140,2024
SOCC6681B1,35,2024
SOCC2271DD,75,2024
SOCC614FC7,85,2024
SOCC41CE85,35,2024
SOCCC136F5,85,2024
SOCCBF1E0A,55,2024
SOCCDD733E,70,2024
SOCCCC8143,70,2024
SOCCE19E1A,65,2024
SOCC3DC7AC,20,2024
SOCCE1C418,90,2024
SOCC595ABB,45,2024
SOCCB792C1,30,2024
SOCC5F7FD6,15,2024
SOCC347728,70,2024
SOCCFD98D3,75,2024
SOCC75A7DE,10,2024
SOCC5FB337,60,2024
SOCCAFD990,35,2024
SOCC9B1B1E,95,2024
SOCCABBA46,25,2024
SOCCEC0AEA,100,2024
SOCCF21535,50,2024
SOCC1E3E32,100,2024
SOCC71C831,25,2024
SOCC7EB7BC,50,2024
SOCC17860D,20,2024
SOCC63FDD7,125,2024
SOCC21667B,120,2024
SOCCFCA276,45,2024
SOCCD3B001,75,2024
SOCC65813B,90,2024
SOCC4A3199,55,2024
SOCCFA6CB6,60,2024
SOCC424157,35,2024
SOCC67945A,20,2024
SOCCAB35F3,130,2024
SOCC489639,130,2024
SOCC49D279,70,2024
HNDLA1722E,20,2024
HNDL03C073,25,2024
HNDL9B1B7D,40,2024
HNDLB5AAA4,50,2024
HNDLCD10B6,65,2024
HIKA1D299,90,2024
HIKD0476A,100,2024
HIKAED3D8,20,2024
HIKD8EC67,25,2024
HIK5BEC68,115,2024
HIK8D130E,75,2024
HIK551B1C,10,2024
HIKC3460C,20,2024
HIKF7229D,105,2024
HIK070F0B,10,2024
HIKCAC6DD,25,2024
HIK77A350,85,2024
HIK1EDFAB,80,2024
HIK36B5E7,85,2024
HIK3D8B94,30,2024
HIKBE06F0,105,2024
HIKD4C3B1,45,2024
HIK477AAF,55,2024
HIK3DF988,90,2024
HIKD36FFD,80,2024
HIKFE5678,130,2024
HIKF1C8B8,80,2024
HIKC8C113,90,2024
HIK122A22,20,2024
HIKAD4D17,70,2024
HORSE77A541,50,2024
HORSE2EEE60,45,2024
HORSE3B12B0,145,2024
HORSEAE5456,65,2024
HORSEB0E845,165,2024
HORSE63358C,95,2024
HORSEEB0E93,120,2024
HORSEE8A02C,80,2024
HORSE32EC33,115,2024
HORSE2CAEAB,90,2024
RACKD4E78B,30,2024
RACK105320,105,2024
RACK66912E,40,2024
RACKFDE19F,10,2024
RACK435CCD,75,2024
RACK3489DB,25,2024
RACK82A423,105,2024
RACK5D92A1,105,2024
RACK69205F,105,2024
ROCKC708F5,90,2024
ROCKD798F6,20,2024
ROCKF69138,195,2024
ROCK9DEEFF,100,2024
ROCKED21EA,200,2024
ROCKCC3BF4,185,2024
ROCK0F8FA1,130,2024
ROCK3F43FF,55,2024
ROCK32D5D0,65,2024
RUN2FE4D5,70,2024
RUNCF8C32,30,2024
RUNC06D4D,25,2024
RUNE665CD,50,2024
RUN6AA3AE,80,2024
RUND54C0F,60,2024
RUNA56979,50,2024
RUND6A4A7,20,2024
RUND5648C,70,2024
RUND03BFE,80,2024
RUND9B589,15,2024
RUN6DCFAC,45,2024
RUN1AB696,75,2024
RUN4820EF,65,2024
RUN339949,60,2024
RUN10A073,65,2024
RUNB90BB2,35,2024
RUN785BD8,40,2024
RUN51B03C,75,2024
RUN1D0017,70,2024
RUN192A50,80,2024
RUN5C06BF,75,2024
RUNEBBF53,60,2024
RUN907813,45,2024
SKAT751A86,90,2024
SKATCB097A,65,2024
SKAT407D01,70,2024
SKAT8BFE91,80,2024
SKAT47003B,100,2024
SKAT24B8F2,45,2024
SKAT8A94D3,40,2024
SKATC23D72,15,2024
SKATDA2B42,75,2024
SQUA4C7DCE,20,2024
SQUA99D795,70,2024
SQUA160B6F,80,2024
SQUAA3B44A,50,2024
SQUABC7FB7,85,2024
SQUAC908FD,15,2024
SQUA84B377,20,2024
SQUA732DF1,95,2024
SQUA22F29D,70,2024
SQUA82575A,30,2024
SURF56D4BF,165,2024
SURF2EBCCA,155,2024
SURF8627B1,90,2024
SURF7A248A,100,2024
SURF60F2D1,25,2024
SURFE9DE14,20,2024
SURFEB883D,155,2024
SURFF237F1,85,2024
SURF69CACC,180,2024
SWIM8BE666,50,2024
SWIM0619EB,65,2024
SWIM38D257,35,2024
SWIM814E22,25,2024
SWIMAEF4F3,55,2024
SWIMCA28CC,20,2024
SWIM3B2B99,25,2024
SWIM4F5CDD,10,2024
SWIMB4058D,5,2024
SWIM139E14,65,2024
SWIME2E04A,55,2024
SWIMBAC8EE,50,2024
SWIM2785E8,30,2024
SWIM8D675F,15,2024
SWIM98EEF3,10,2024
SWIM9CB0C3,20,2024
SWIM3BD53D,50,2024
SWIM684A76,65,2024
SWIM1E7A6B,45,2024
TTEN18B609,35,2024
TTEND5F06B,90,2024
TTENB506A5,70,2024
TTEND35118,45,2024
TTEN2C5F16,75,2024
TTENE14F77,45,2024
TTEN658069,30,2024
TTEN204A0C,40,2024
TTEN99E28C,70,2024
TTENE352A9,10,2024
GAMES600C68,10,2024
GAMES594E41,10,2024
GAMES78D8F4,5,2024
GAMES7519A2,55,2024
GAMES0B9C36,55,2024
GAMESA7F5F8,40,2024
GAMES55E6CB,10,2024
GAMES62C38E,30,2024
GAMES5EF6E3,40,2024
TENN1ADD96,45,2024
TENN32F2C2,95,2024
TENN11B50C,90,2024
TENN8CF37E,130,2024
TENNE19233,130,2024
TENN6E46CF,20,2024
TENN6AD4AC,85,2024
TENNDCCD5A,130,2024
TENN514228,110,2024
TENN0CFFE7,175,2024
TENN391CEF,135,2024
TENN151AB9,45,2024
TENN3F4E67,25,2024
TENNF49374,135,2024
TENN0B614F,20,2024
TENN4AEBA0,125,2024
TENN506041,235,2024
TENN6C0BC2,120,2024
VOLLF0E251,25,2024
VOLLD0506F,50,2024
VOLLC5F036,30,2024
VOLLA6AAB1,40,2024
VOLLF5D4E6,55,2024
VOLLEEC6A4,25,2024
VOLL56AE91,50,2024
VOLLDDFCD0,50,2024
VOLL4B8018,20,2024
WLFT9CBF85,45,2024
WLFTB0B8BE,40,2024
WLFT5DC367,25,2024
WLFT1704AC,50,2024
WLFT053057,245,2024
WLFT79618A,45,2024
WLFTAE945F,130,2024
WLFT4A4E9C,295,2024
WLFT6CA36D,25,2024
WLFTB7DF2B,205,2024
WLFT52B261,110,2024
WLFT296A48,55,2024
WLFT7AD84A,245,2024
WLFTD84A88,225,2024
WLFTAC3A34,220,2024
WLFT1B93D6,280,2024
WLFT69B35E,280,2024
WLFTF2E540,80,2024
WLFT14DED0,80,2024
YOGA19401E,40,2024
YOGACE3F89,40,2024
YOGA4680D3,50,2024
YOGA1B22A2,20,2024
YOGA6FA844,20,2024
YOGAA7E602,40,2024
YOGA46952D,20,2024
YOGA80ED66,45,2024
YOGA465ABE,45,2024
ARCHDDE20D,50,2025
ARCH158F41,100,2025
ARCHAFF0E4,80,2025
ARCH6B94F7,65,2025
ARCH5D1FE7,30,2025
ARCH7B49A9,30,2025
ARCH497D34,20,2025
ARCHE71D79,100,2025
ARCHDD8749,70,2025
BADMC045D4,80,2025
BADM88C384,15,2025
BADMA5EBA3,105,2025
BADM4BAB38,110,2025
BADMDC6AB1,30,2025
BADM50C510,30,2025
BADM2459FB,30,2025
BADM9DDCED,40,2025
BADMD11DA6,60,2025
BADMDA1B05,55,2025
BADM376040,40,2025
BADM03A202,70,2025
BADME151E6,25,2025
BADMDA5EC8,50,2025
BADM48A260,40,2025
BADM8FFE12,55,2025
BADM1B8332,85,2025
BADM7E90FB,30,2025
BASK7F5383,60,2025
BASKEE612D,75,2025
BASK4C69DF,15,2025
BASK9E4294,75,2025
BASKEE32E4,30,2025
BASKE57A19,15,2025
BASK728A58,140,2025
BASKED86BF,115,2025
BASK32528E,125,2025
BASK984F74,40,2025
BOX8606F7,15,2025
BOXD26891,75,2025
BOX17AD9F,50,2025
BOXB9DCC6,20,2025
BOX3DC0E4,65,2025
BOX381514,10,2025
BOX386644,95,2025
BOX3A9CA9,35,2025
BOXB0228B,60,2025
CAMP24F868,80,2025
CAMPA3B110,80,2025
CAMPEE1159,85,2025
CAMP7A5E65,35,2025
CAMP69AF0F,155,2025
CAMP10C410,105,2025
CAMPECAADE,180,2025
CAMPF24336,205,2025
CAMPE624C8,90,2025
CAMP11E3FA,130,2025
CAMPCB6B05,20,2025
CAMPDFA679,35,2025
CAMP4005E6,15,2025
CAMPD5615D,70,2025
HOCKA1EEE0,60,2025
HOCK7723F0,45,2025
HOCK97BE68,125,2025
HOCK2716B4,70,2025
HOCK6888B0,60,2025
HOCKE4E9A2,80,2025
HOCK670481,30,2025
HOCKCCD675,165,2025
HOCK05FECB,25,2025
HOCK681856,170,2025
HOCKBBFD56,100,2025
HOCK57FB52,35,2025
HOCK294CD6,15,2025
HOCK892BAA,110,2025
HOCK2AE4DF,115,2025
HOCKC0D928,90,2025
HOCK341BC8,125,2025
HOCKB9EBFF,35,2025
HOCK5B2A0F,65,2025
HOCK2D3CF5,30,2025
HOCKC6CF02,125,2025
HOCKA7893F,145,2025
HOCKA5001D,60,2025
HOCK94FE34,15,2025
HOCK1FC74E,65,2025
HOCK905F1B,75,2025
HOCK35B3C7,150,2025
HOCK462BA5,95,2025
HOCKBDB8DA,125,2025
HOCK1BA87E,85,2025
HOCK7633A6,25,2025
HOCK8B52CE,85,2025
HOCK538334,130,2025
HOCK385D92,80,2025
HOCKF950D4,90,2025
HOCK16E55F,90,2025
HOCK02DA3C,80,2025
HOCK98DB22,95,2025
HOCKCE879E,20,2025
HOCK372046,25,2025
HOCKF6D4C2,30,2025
HOCK7270D1,95,2025
HOCK64B186,60,2025
HOCK2841E6,120,2025
HOCK2101AF,110,2025
HOCKDB62E7,40,2025
HOCKA7A3B4,95,2025
HOCKD69383,105,2025
HOCK97883A,45,2025
HOCK55A6B5,20,2025
HOCK7A3D0A,65,2025
HOCK76C189,35,2025
HOCK8DF8D8,160,2025
HOCK19DC2D,110,2025
HOCKAEA857,105,2025
HOCK55BF8F,110,2025
HOCKA76614,115,2025
HOCK2D7B61,45,2025
HOCKC6150F,115,2025
CYCLDE0772,65,2025
CYCLBD7368,105,2025
CYCL9F921D,115,2025
CYCL8D32DD,50,2025
CYCL903AF1,25,2025
CYCLB9F510,35,2025
CYCL3A3BA9,75,2025
CYCL28EDD2,105,2025
CYCL8D92F6,135,2025
CYCLA4B3CA,10,2025
FISHE20FE7,55,2025
FISH435E84,45,2025
FISHF83738,30,2025
FISH731A02,20,2025
FISH8CF49F,40,2025
FISH6AC780,115,2025
FISHC4F1E3,40,2025
FISH9C6E1A,60,2025
FISH9DCA51,80,2025
FISHA6E17F,45,2025
SOCCDA10C6,115,2025
SOCC8B25BD,95,2025
SOCCBCD3A9,35,2025
SOCCC865F3,65,2025
SOCC9DB3E4,45,2025
SOCCB533BF,50,2025
SOCC80D996,15,2025
SOCC0CD3DE,85,2025
SOCC528FB5,85,2025
SOCC86D9A9,15,2025
SOCC0E544D,40,2025
SOCCF63A17,140,2025
SOCC93E2C6,45,2025
SOCC2BAAAD,25,2025
SOCC9B3291,60,2025
SOCC7DA9E9,150,2025
SOCC6681B1,35,2025
SOCC2271DD,80,2025
SOCC614FC7,95,2025
SOCC41CE85,35,2025
SOCCC136F5,90,2025
SOCCBF1E0A,60,2025
SOCCDD733E,80,2025
SOCCCC8143,80,2025
SOCCE19E1A,65,2025
SOCC3DC7AC,20,2025
SOCCE1C418,95,2025
SOCC595ABB,45,2025
SOCCB792C1,30,2025
SOCC5F7FD6,15,2025
SOCC347728,70,2025
SOCCFD98D3,80,2025
SOCC75A7DE,10,2025
SOCC5FB337,65,2025
SOCCAFD990,35,2025
SOCC9B1B1E,105,2025
SOCCABBA46,30,2025
SOCCEC0AEA,110,2025
SOCCF21535,50,2025
SOCC1E3E32,105,2025
SOCC71C831,25,2025
SOCC7EB7BC,55,2025
SOCC17860D,25,2025
SOCC63FDD7,135,2025
SOCC21667B,130,2025
SOCCFCA276,50,2025
SOCCD3B001,80,2025
SOCC65813B,95,2025
SOCC4A3199,60,2025
SOCCFA6CB6,65,2025
SOCC424157,35,2025
SOCC67945A,20,2025
SOCCAB35F3,135,2025
SOCC489639,135,2025
SOCC49D279,75,2025
HNDLA1722E,25,2025
HNDL03C073,25,2025
HNDL9B1B7D,45,2025
HNDLB5AAA4,55,2025
HNDLCD10B6,65,2025
HIKA1D299,100,2025
HIKD0476A,105,2025
HIKAED3D8,25,2025
HIKD8EC67,25,2025
HIK5BEC68,120,2025
HIK8D130E,75,2025
HIK551B1C,10,2025
HIKC3460C,20,2025
HIKF7229D,105,2025
HIK070F0B,10,2025
HIKCAC6DD,25,2025
HIK77A350,90,2025
HIK1EDFAB,85,2025
HIK36B5E7,95,2025
HIK3D8B94,35,2025
HIKBE06F0,115,2025
HIKD4C3B1,45,2025
HIK477AAF,55,2025
HIK3DF988,95,2025
HIKD36FFD,85,2025
HIKFE5678,135,2025
HIKF1C8B8,85,2025
HIKC8C113,100,2025
HIK122A22,20,2025
HIKAD4D17,70,2025
HORSE77A541,50,2025
HORSE2EEE60,50,2025
HORSE3B12B0,155,2025
HORSEAE5456,70,2025
HORSEB0E845,175,2025
HORSE63358C,100,2025
HORSEEB0E93,130,2025
HORSEE8A02C,85,2025
HORSE32EC33,120,2025
HORSE2CAEAB,95,2025
RACKD4E78B,30,2025
RACK105320,110,2025
RACK66912E,40,2025
RACKFDE19F,10,2025
RACK435CCD,80,2025
RACK3489DB,30,2025
RACK82A423,110,2025
RACK5D92A1,110,2025
RACK69205F,110,2025
ROCKC708F5,90,2025
ROCKD798F6,20,2025
ROCKF69138,205,2025
ROCK9DEEFF,105,2025
ROCKED21EA,210,2025
ROCKCC3BF4,205,2025
ROCK0F8FA1,140,2025
ROCK3F43FF,55,2025
ROCK32D5D0,70,2025
RUN2FE4D5,75,2025
RUNCF8C32,30,2025
RUNC06D4D,25,2025
RUNE665CD,50,2025
RUN6AA3AE,85,2025
RUND54C0F,65,2025
RUNA56979,50,2025
RUND6A4A7,20,2025
RUND5648C,75,2025
RUND03BFE,90,2025
RUND9B589,20,2025
RUN6DCFAC,50,2025
RUN1AB696,80,2025
RUN4820EF,65,2025
RUN339949,60,2025
RUN10A073,70,2025
RUNB90BB2,35,2025
RUN785BD8,40,2025
RUN51B03C,80,2025
RUN1D0017,70,2025
RUN192A50,85,2025
RUN5C06BF,80,2025
RUNEBBF53,65,2025
RUN907813,45,2025
SKAT751A86,100,2025
SKATCB097A,70,2025
SKAT407D01,80,2025
SKAT8BFE91,85,2025
SKAT47003B,110,2025
SKAT24B8F2,50,2025
SKAT8A94D3,45,2025
SKATC23D72,15,2025
SKATDA2B42,80,2025
SQUA4C7DCE,25,2025
SQUA99D795,75,2025
SQUA160B6F,85,2025
SQUAA3B44A,50,2025
SQUABC7FB7,90,2025
SQUAC908FD,20,2025
SQUA84B377,20,2025
SQUA732DF1,100,2025
SQUA22F29D,75,2025
SQUA82575A,30,2025
SURF56D4BF,175,2025
SURF2EBCCA,165,2025
SURF8627B1,95,2025
SURF7A248A,105,2025
SURF60F2D1,30,2025
SURFE9DE14,20,2025
SURFEB883D,160,2025
SURFF237F1,90,2025
SURF69CACC,195,2025
SWIM8BE666,50,2025
SWIM0619EB,70,2025
SWIM38D257,35,2025
SWIM814E22,25,2025
SWIMAEF4F3,60,2025
SWIMCA28CC,20,2025
SWIM3B2B99,30,2025
SWIM4F5CDD,10,2025
SWIMB4058D,5,2025
SWIM139E14,70,2025
SWIME2E04A,60,2025
SWIMBAC8EE,55,2025
SWIM2785E8,30,2025
SWIM8D675F,20,2025
SWIM98EEF3,10,2025
SWIM9CB0C3,25,2025
SWIM3BD53D,55,2025
SWIM684A76,65,2025
SWIM1E7A6B,50,2025
TTEN18B609,35,2025
TTEND5F06B,90,2025
TTENB506A5,75,2025
TTEND35118,50,2025
TTEN2C5F16,80,2025
TTENE14F77,50,2025
TTEN658069,30,2025
TTEN204A0C,40,2025
TTEN99E28C,75,2025
TTENE352A9,10,2025
GAMES600C68,10,2025
GAMES594E41,10,2025
GAMES78D8F4,10,2025
GAMES7519A2,60,2025
GAMES0B9C36,55,2025
GAMESA7F5F8,40,2025
GAMES55E6CB,10,2025
GAMES62C38E,35,2025
GAMES5EF6E3,45,2025
TENN1ADD96,50,2025
TENN32F2C2,100,2025
TENN11B50C,90,2025
TENN8CF37E,140,2025
TENNE19233,140,2025
TENN6E46CF,20,2025
TENN6AD4AC,90,2025
TENNDCCD5A,140,2025
TENN514228,115,2025
TENN0CFFE7,190,2025
TENN391CEF,145,2025
TENN151AB9,45,2025
TENN3F4E67,30,2025
TENNF49374,145,2025
TENN0B614F,20,2025
TENN4AEBA0,130,2025
TENN506041,255,2025
TENN6C0BC2,130,2025
VOLLF0E251,25,2025
VOLLD0506F,50,2025
VOLLC5F036,30,2025
VOLLA6AAB1,45,2025
VOLLF5D4E6,55,2025
VOLLEEC6A4,25,2025
VOLL56AE91,55,2025
VOLLDDFCD0,50,2025
VOLL4B8018,20,2025
WLFT9CBF85,50,2025
WLFTB0B8BE,45,2025
WLFT5DC367,25,2025
WLFT1704AC,55,2025
WLFT053057,250,2025
WLFT79618A,50,2025
WLFTAE945F,135,2025
WLFT4A4E9C,315,2025
WLFT6CA36D,30,2025
WLFTB7DF2B,210,2025
WLFT52B261,115,2025
WLFT296A48,60,2025
WLFT7AD84A,265,2025
WLFTD84A88,240,2025
WLFTAC3A34,235,2025
WLFT1B93D6,295,2025
WLFT69B35E,295,2025
WLFTF2E540,85,2025
WLFT14DED0,85,2025
YOGA19401E,40,2025
YOGACE3F89,45,2025
YOGA4680D3,50,2025
YOGA1B22A2,25,2025
YOGA6FA844,20,2025
YOGAA7E602,40,2025
YOGA46952D,20,2025
YOGA80ED66,50,2025
YOGA465ABE,45,2025
